Line No.,From Bus,To Bus,R (pu),X (pu),Flow Limit (MW)
110,70,71,0.00882,0.0355,175
111,24,72,0.0488,0.196,175
112,71,72,0.0446,0.18,175
113,71,73,0.00866,0.0454,175
114,70,74,0.0401,0.1323,175
115,70,75,0.0428,0.141,175
116,69,75,0.0405,0.122,500
117,74,75,0.0123,0.0406,175
118,76,77,0.0444,0.148,175
119,69,77,0.0309,0.101,175
120,75,77,0.0601,0.1999,175
121,77,78,0.00376,0.0124,175
122,78,79,0.00546,0.0244,175
123,77,80,0.017,0.0485,500
124,77,80,0.0294,0.105,500
125,79,80,0.0156,0.0704,175
126,68,81,0.00175,0.0202,500
127,81,80,0,0.037,500
128,77,82,0.0298,0.0853,200
129,82,83,0.0112,0.03665,200
130,83,84,0.0625,0.132,175
131,83,85,0.043,0.148,175
132,84,85,0.0302,0.0641,175
133,85,86,0.035,0.123,500
134,86,87,0.02828,0.2074,500
135,85,88,0.02,0.102,175
136,85,89,0.0239,0.173,175
137,88,89,0.0139,0.0712,500
138,89,90,0.0518,0.188,500
139,89,90,0.0238,0.0997,500
140,90,91,0.0254,0.0836,175
141,89,92,0.0099,0.0505,500
142,89,92,0.0393,0.1581,500
143,91,92,0.0387,0.1272,175
144,92,93,0.0258,0.0848,175
145,92,94,0.0481,0.158,175
146,93,94,0.0223,0.0732,175
147,94,95,0.0132,0.0434,175
148,80,96,0.0356,0.182,175
149,82,96,0.0162,0.053,175
150,94,96,0.0269,0.0869,175
151,80,97,0.0183,0.0934,175
152,80,98,0.0238,0.108,175
153,80,99,0.0454,0.206,200
154,92,100,0.0648,0.295,175
155,94,100,0.0178,0.058,175
156,95,96,0.0171,0.0547,175
157,96,97,0.0173,0.0885,175
158,98,100,0.0397,0.179,175
159,99,100,0.018,0.0813,175
160,100,101,0.0277,0.1262,175
161,92,102,0.0123,0.0559,175
162,101,102,0.0246,0.112,175
163,100,103,0.016,0.0525,500
164,100,104,0.0451,0.204,175
165,103,104,0.0466,0.1584,175
166,103,105,0.0535,0.1625,175
167,100,106,0.0605,0.229,175
168,104,105,0.00994,0.0378,175
169,105,106,0.014,0.0547,175
170,105,107,0.053,0.183,175
171,105,108,0.0261,0.0703,175
172,106,107,0.053,0.183,175
173,108,109,0.0105,0.0288,175
174,103,110,0.03906,0.1813,175
175,109,110,0.0278,0.0762,175
176,110,111,0.022,0.0755,175
177,110,112,0.0247,0.064,175
178,17,113,0.00913,0.0301,175
179,32,113,0.0615,0.203,500
180,32,114,0.0135,0.0612,175
181,27,115,0.0164,0.0741,175
182,114,115,0.0023,0.0104,175
183,68,116,0.00034,0.00405,500
184,12,117,0.0329,0.14,175
185,75,118,0.0145,0.0481,175
186,76,118,0.0164,0.0544,175
